label,study_and_condition
1, immunoglobulins recurrent adult hodgkin lymphoma diagnosis qtc prolongation greater five hundredmsec other significant ecg abnormality noted within fourteen days registration
1, liposomal doxorubicin concurrent anticancer drugs bevacizumab any drugs that target vegf vegf receptors
0, antibodies monoclonal stage iv verrucous carcinoma oral cavity diagnosis no ongoing active infection
0, cognitive assessment stage iiic fallopian tube cancer diagnosis more six months since prior epoetin alfa darbepoetin any investigational forms erythropoietin
1, sirolimus recurrent uterine corpus sarcoma diagnosis unresolved toxicities from prior systemic therapy that common terminology criteria adverse events ctcae version doc greater equal grade two severity except alopecia
0, trin neoplasms diagnosis life expectancy at least three months
0, trastuzumab refractory malignant neoplasm diagnosis five minutes breaks between ecgs
0, leucovorin stage iia colon cancer diagnosis patients prothrombin time pt international normalized ratio inr greater doc not eligible unless patient is on full dose anticoagulants if so following criteria must be met enrollment
0, melphalan iii ii symptomatic bone lesion radiological
0, endothelial growth factors stage ib breast cancer diagnosis history venous thrombosis last twelve weeks
0, histone deacetylase inhibitors cutaneous cell non hodgkin lymphoma diagnosis development erythema nodosum if characterized by desquamating rash while taking thalidomide similar drugs
1, oxaliplatin non metastatic pancreas cancer diagnosis peripheral sensory neuropathy greater grade two at baseline
1, oxaliplatin stomach neoplasm diagnosis participants gastrointestinal obstruction bleeding inducing mal absorption oral chemotherapeutic agents
1, oxaliplatin kras wild type colorectal cancer diagnosis major surgical procedure open biopsy significant traumatic injury within four weeks prior randomization
1, antibodies monoclonal multiple myeloma diagnosis plasma cell leukemia greater two zero cells mcl circulating plasma cells by standard differential
1, olaparib stage iv prostate adenocarcinoma diagnosis history stroke transient ischemic attack within six months randomization
0, metronidazole adult primary hepatocellular carcinoma diagnosis individuals eczema other open skin condition
1, rexin g pancreatic cancer diagnosis male patients must agree use barrier contraception
1, vaccines stage iv melanoma diagnosis radiation therapy equal less four weeks prior registration
1, fluorouracil biliary tract cancer diagnosis other serious underlying medical conditions which could impair ability patient participate study
1, gold sodium thiomalate stage iv non small cell lung cancer diagnosis other concurrent chemotherapy immunotherapy radiotherapy any ancillary therapy considered investigational utilized non food drug administration fda approved indication context research investigation
0, laboratory biomarker analysis recurrent mantle cell lymphoma diagnosis uncontrolled active infection
0, liposomal doxorubicin stage iiia breast cancer diagnosis patients must have completed definitive breast surgery including total mastectomy axillary dissection modified radical mastectomy total mastectomy sentinel node biopsy lumpectomy axillary dissection lumpectomy sentinel node biopsy note
0, irinotecan colorectal cancer diagnosis colostomy ileostomy allowed at investigator discretion
1, carboplatin anaplastic ependymoma diagnosis new york heart association nyha grade ii greater congestive heart failure
1, etoposide stage ii childhood lymphoblastic lymphoma diagnosis prednisone methylprednisolone equal less one hundred twenty hours five days seven days prior initiating induction chemotherapy equal less three hundred thirty six hours fourteen days twenty eight days prior initiating induction chemotherapy prior exposure any steroids that occurred greater twenty eight days before initiation protocol therapy does not affect eligibility dose prednisone methylprednisolone does not affect eligibility
0, dexamethasone phosphate lymphoblastic lymphoma complete remission diagnosis patients persistent minimal residual disease complete remission incomplete platelet recovery not eligible
1, capecitabine recurrent colon cancer diagnosis hiv positive patients who not on anti retroviral therapy but have cdfour cells less two hundred should be excluded hiv positive patients eligible if they on haart highly active anti retroviral therapy which not cypthreeafour substrates inducers inhibitors meet all other criteria
0, capecitabine pancreatic cancer diagnosis no known dihydropyrimidine dehydrogenase dpd deficiency
1, laboratory biomarker analysis primary diagnosis pulmonary small cell carcinoma pulmonary large cell carcinoma merkel cell carcinoma
0, liposomal doxorubicin lymphoma diagnosis biologic therapy
0, antioxidants prostate cancer diagnosis psoriasis
1, pemetrexed head neck neoplasms diagnosis presence clinically significant by physical exam third space fluid collections example ascites pleural effusions that cannot be controlled by drainage other procedures prior entry
1, pemetrexed cancer diagnosis known immediate delayed hypersensitivity reaction idiosyncrasy drugs chemically related pazopanib erlotinib pemetrexed
0, paclitaxel pancreatic cancer diagnosis hemoglobin greater doc dl
0, immunoglobulins recurrent mantle cell lymphoma diagnosis may be treated first cr
0, nitroarginine unspecified adult solid tumor protocol specific diagnosis no post radiation bowel symptoms any grade following radiotherapy within abdomen pelvis
1, rituximab stage iii adult lymphoblastic lymphoma diagnosis known hypersensitivity rituximab
0, cytarabine recurrent childhood hodgkin lymphoma diagnosis fish translocation fourteen
0, antibodies stage iiia esophageal cancer diagnosis prior step one registration but within fifty six days prior step two registration
0, irinotecan colorectal cancer diagnosis no clinically significant peripheral vascular disease phase ii
0, alvocidib stage iv extragonadal seminoma diagnosis progressive disease after prior cisplatin based therapy meets one following criteria
1, vitamins hepatocellular carcinoma diagnosis women who during pregnancy lactation
0, etoposide phosphate stage grade two follicular lymphoma diagnosis serum creatinine less doc mg dl
1, electronic brachytherapy gy carcinoma basal cell diagnosis collagen vascular disease lupus scleroderma rheumatoid arthritis
0, mitogens colorectal cancer diagnosis platelets greater one hundred one hundred nine l
0, calcium dietary diffuse adenocarcinoma stomach diagnosis patients must not have known immediate delayed hypersensitivity reaction drugs chemically related fluorouracil platins their excipients nor have known history dihydropyrimidine dehydrogenase dpd deficiency
1, dexamethasone stage multiple myeloma diagnosis cumulative dose doxorubicin four hundred mg two greater if this level would be exceeded during current study
1, paclitaxel breast cancer diagnosis serious cardiac illness medical conditions including but not confined to
0, stereotactic radiosurgery stage iva vaginal cancer diagnosis measurable disease according recist criteria
0, immunoglobulins squamous cell lung cancer diagnosis stage iiib malignant pleural effusion stage iv disease
1, exemestane prior tamoxifen part any breast cancer prevention study
1, fludarabine patients chronic lymphocytic leukemia cll small lymphocytic lymphoma well differentiated lymphocytic lymphoma
0, cyclophosphamide non small cell lung cancer diagnosis participant must have completed primary thoracic chemoradiotherapy at least four weeks no later twelve weeks prior randomization
0, paclitaxel lung cancer diagnosis chemotherapy
1, albumin bound paclitaxel recurrent carcinoma head neck region
0, doxorubicin recurrent ovarian cancer diagnosis stable from cardiopulmonary standpoint continue prolonged surgery anesthesia
0, laboratory biomarker analysis colorectal cancer diagnosis prior concurrent therapy
1, laboratory biomarker analysis small intestinal lymphoma diagnosis anticoagulation warfarin equivalent vitamin antagonists within twenty eight days prior starting ibrutinib throughout study
1, enalapril lung cancer diagnosis subjects eligible surgical resection who not need radiation therapy will not be eligible this study
1, cetuximab metastatic head neck cancer diagnosis patients who received any other investigational drugs within fourteen days prior start cabazitaxel
0, laboratory biomarker analysis recurrent adult lymphoblastic lymphoma diagnosis platelets greater equal one hundred zero ul
1, paclitaxel ovarian cancer diagnosis ongoing serious infection
1, everolimus unspecified adult solid tumor protocol specific diagnosis uncontrolled diabetes defined by fasting serum glucose greater doc uln
0, genetically engineered lymphocyte therapy recurrent adult diffuse large cell lymphoma diagnosis female participants reproductive potential must have negative serum urine pregnancy test performed within forty eight hours before infusion
1, bortezomib multiple myeloma diagnosis severe hypercalcemia serum calcium equal twelve mg dl doc mmol corrected albumin
0, leucovorin gastric cancer diagnosis forms independent cells not considered linitis
1, carboplatin non small cell lung cancer diagnosis is participating has participated an investigational compound device within thirty days five half lives start treatment
1, cd tk transduced donor lymphocytes multiple myeloma diagnosis culture pcr blood cmv must be negative enrollment
1, bortezomib relapsed refractory multiple myeloma diagnosis class two is defined cardiac disease which patients comfortable at rest but ordinary physical activity results fatigue palpitations dyspnea anginal pain
0, vaccines mesolthelioma diagnosis seronegative hiv antibody
1, prednisolone phosphate primary central nervous system cns lymphoma secondary cns involvement by lymphoma mantle cell lymphoma mcl histologic evidence transformation burkitt lymphoma primary mediastinal dlbcl primary effusion lymphoma plasmablastic lymphoma primary cutaneous dlbcl
1, mri guided needles deliver hdr brachytherapy patients prostate cancer diagnosis contraindications conscious sedation local anesthesia spinal epidural anesthesia
0, lamivudine kaposi sarcoma diagnosis histologically proven
1, lenograstim stage iii adult diffuse mixed cell lymphoma diagnosis pregnancy
1, biliary drainage ampulla vater cancer diagnosis previous chemotherapy radiotherapy
1, tacrolimus recurrent adult cell leukemia lymphoma diagnosis serum glutamic oxaloacetic transaminase sgot serum glutamic pyruvate transaminase sgpt greater equal three upper limit normal
1, precision cell immunotherapy advanced gastric cancer diagnosis other serious diseases
1, oxaliplatin patients past current history within last two years other malignancies except indication under this curatively treated basal squamous skin cancer situ cancer cervix
0, cybercycling histologically confirmed cancer
1, camptothecin colon cancer high risk stage iii ptfournone ptone four ntwo diagnosis edical geographical sociological psychological legal conditions that would not permit patient complete sign informed consent
0, sorafenib solid tumor diagnosis participants men women childbearing potential must agree use adequate contraception beginning at signing icf until at least thirty days after last dose drug
0, poly adp ribose polymerase inhibitors should woman become pregnant suspect she is pregnant while she her partner is participating this she should inform her treating physician immediately
1, paclitaxel resectable pancreatic cancer diagnosis history uncontrolled seizures central nervous system disorders psychiatric disability judged by investigator be clinically significant precluding informed consent interfering compliance oral drug intake
1, antibodies recurrent adult diffuse large cell lymphoma diagnosis unable perform self care during radiation isolation
0, entinostat multiple myeloma plasma cell neoplasm diagnosis no concurrent immunotherapy
1, mycophenolic acid adult nasal type extranodal nk cell lymphoma diagnosis donor
1, antibodies monoclonal small lymphocytic lymphoma diagnosis requires anticoagulation warfarin
1, cetuximab squamous cell carcinoma head neck diagnosis previous treatment monoclonal antibody therapy other signal transduction inhibitors epidermal growth factor receptor egfr targeting therapy
1, carmustine recurrent grade three follicular lymphoma diagnosis active bacterial viral fungal infection
1, digoxin classic kaposi sarcoma diagnosis eastern cooperative oncology group ecog performance status greater one
0, bb stage iv squamous cell carcinoma nasopharynx diagnosis predicted life expectancy greater twelve weeks
0, letrozole breast neoplasms diagnosis patients must have measurable evaluable disease
1, erlotinib hydrochloride non small cell lung cancer nsclc stage iv diagnosis patients who have received last administration chemotherapy immunotherapy daily schedule equal less seven days prior starting drug
0, antibodies stage iv squamous cell carcinoma paranasal sinus nasal cavity diagnosis interferon based therapy
0, antibodies monoclonal refractory hodgkin lymphoma diagnosis autologous stem cell infusion including boost infusion
0, melphalan ds stage plasma cell myeloma diagnosis ejection fraction greater equal forty five
0, asparaginase refractory lymphoblastic lymphoma diagnosis aspartate aminotransferase ast serum glutamic oxaloacetic transaminase sgot alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt equal less doc institutional uln
0, antibodies monoclonal patients must have histologically cytologically proven newly diagnosed selected stage iiib tfour lesion due malignant pleural effusion stage iv advanced primary non small cell lung cancer adenocarcinoma large cell carcinoma unspecified recurrent disease after previous surgery irradiation patients tumors having squamous cell components greater fifty not eligible
1, immunoglobulin g cervical squamous cell carcinoma not otherwise specified diagnosis men women childbearing potential who unwilling employ adequate contraception
1, external radiotherapy uterine cervical cancer diagnosis pregnant breastfeeding patient
0, carboplatin stage ii breast cancer diagnosis hertwo must be positive by ihc ish testing by laboratory standard
0, antibodies monoclonal stage iv non small cell lung cancer diagnosis more four weeks since prior radiotherapy
1, oncolytic measles virus encoding thyroidal sodium iodide symporter stage ib malignant mesothelioma diagnosis pregnant women
0, vaccines stage ii cutaneous cell non hodgkin lymphoma diagnosis planned hct minimal no cell depletion graft
1, cyclophosphamide stage iiia primary peritoneal cancer diagnosis nursing women unwilling stop breast feeding
0, docetaxel have solid tumors that can be measured on physical examination by radiographic imaging studies
1, antibodies monoclonal recurrent grade two follicular lymphoma diagnosis eligible other therapeutic options that will be more likely have better long term disease free survival lower potential toxicity non transplant therapy autologous transplants etc
0, lenalidomide myeloma diagnosis absolute neutrophil count greater one thousand ml
0, antibodies lymphoma diagnosis female subject is either post menopausal surgically sterilized willing use an acceptable method birth control hormonal contraceptive intra uterine device diaphragm spermicide condom spermicide abstinence duration thirty days after last vaccination has been administered
1, etanercept temporomandibular joint disorder diagnosis subjects that taking regularly steroids narcotics medications will be excluded
1, tb ≤ mg kg relapsed refractory medulloblastoma mb part also include neuroblastoma nb ewing sarcoma es alveolar rhabdomyosarcoma arms diagnosis have previously received tb four hundred three
0, immunohistochemistry staining method breast cancer diagnosis sex
0, pyridoxal colorectal cancer diagnosis life expectancy greater twelve weeks
0, topotecan fallopian tube cancer diagnosis alkaline phosphatase less doc times uln
1, doxorubicin diffuse large cell lymphoma diagnosis prior treatment cytotoxic drugs rituximab another condition example rheumatoid arthritis prior use an anti cdtwenty antibody
0, etoposide phosphate anaplastic large cell lymphoma alk negative diagnosis no prior therapy exception prior radiation therapy one cycle chemotherapy may be any chemotherapy regimen even prednisone alone based on current diagnosis clinical condition this cycle treatment will not count toward six cycles treatment given study
0, diagnostic laboratory biomarker analysis endometrial clear cell adenocarcinoma diagnosis not eligible higher priority gog protocol if one exists any active phase iii gog protocol same patient population
1, antibodies recurrent adult brain tumor diagnosis must be able swallow capsules
1, mycophenolic acid stage iv childhood small noncleaved cell lymphoma diagnosis donor
0, docetaxel sarcoma diagnosis diagnosis
1, mira device imaging breast cancer diagnosis subjects who unable read understand execute informed consent procedure
0, immunoglobulin g undifferentiated ovarian carcinoma diagnosis prothrombin time pt such that international normalized ratio inr is equal less doc uln an range inr usually between two three if patient is on stable dose therapeutic warfarin partial thromboplastin time ptt equal less doc times upper limit normal heparin lovenox alternative anticoagulants acceptable this corresponds ctcae version doc grade one one less oneone two two three two one 
1, mitomycins tumors greater equal doc cm greatest axial dimension
1, vinorelbine adult rhabdomyosarcoma diagnosis patients botryoid histology any stage group ineligible
1, exercise intervention stage iic fallopian tube cancer diagnosis patients gog performance grade three four
1, vincristine lymphoma large cell diffuse diagnosis corrected qt interval greater four hundred eighty msec using fridericia formula
0, melphalan lymphoma diagnosis chronic myeloid leukemia cml an inadequate response imatinib meeting one following criteria
0, methylprednisolone acetate lymphoma diagnosis patient characteristics
0, trastuzumab breast cancer diagnosis patient characteristics
0, tamoxifen breast cancer diagnosis peau orange skin changes
0, nk cell infusion pediatric cancers diagnosis serum total bilirubin less two mg dl serum ast alt less equal three upper limit normal
1, asparaginase non hodgkins lymphoma diagnosis psychiatric illness that could potentially interfere completion treatment according this protocol
0, sirolimus metastatic colorectal cancer diagnosis fluoropyrimidines oxaliplatin irinotecan bevacizumab cetuximab panitumumab
1, dexamethasone phosphate non haematological malignancy within past three years exception adequately treated basal cell carcinoma squamous cell skin cancer thyroid cancer carcinoma situ cervix breast prostate cancer gleason grade six less stable prostate specific antigen levels cancer considered cured by surgical resection unlikely impact survival during duration such localised transitional cell carcinoma bladder benign tumours adrenal gland pancreas
0, liposomal doxorubicin childhood malignant mesenchymoma diagnosis ast alt less doc times uln
0, methionine brain stem glioma diagnosis informed consent signed by participant parent guardian according guidelines institutional review board
0, endothelial growth factors stage iv squamous cell carcinoma paranasal sinus nasal cavity diagnosis at least four weeks since prior major surgery
1, temozolomide small cell glioblastoma diagnosis among other criteria patients who meet following conditions not eligible study
1, cyclophosphamide multiple myeloma diagnosis patient has greater doc upper limit normal total bilirubin
0, oxaliplatin stage iiic colon cancer diagnosis at least two weeks since prior minor surgery recovered
1, angiogenesis inhibitors hepatocellular carcinoma diagnosis platelets less seven doc zero anc less zero hemoglobin less doc mg dl inadequate coagulation status namely inr greater two quick less fifty aptt greater fifty sec absence any drugs interfering coagulation such warfarin phenprocoumon nmh ufh
1, sirolimus regional digestive system neuroendocrine tumor gone diagnosis female patients who pregnant breast feeding adults reproductive potential who not using effective birth control methods pregnant women excluded from breastfeeding women should be excluded
0, poly adp ribose polymerase inhibitors recurrent primary peritoneal carcinoma diagnosis creatinine equal less doc uln
0, veliparib fallopian tube carcinosarcoma diagnosis creatinine equal less doc institutional upper limit normal uln ctcae grade one
1, mycophenolate mofetil myelodysplastic myeloproliferative neoplasm unclassifiable diagnosis all patients receiving antifungal therapy voriconazole posaconazole fluconazole who then randomized arm three must have rapamycin reduced according standard practice antifungal therapy guidelines
1, antibodies monoclonal melanoma diagnosis women childbearing potential wocbp defined above who
0, cyclophosphamide stage iii childhood lymphoblastic lymphoma diagnosis all patients must be cr defined by hematologic recovery less five blasts by morphology within bone marrow cellularity greater equal five
1, letrozole any prior neo adjuvant anti cancer therapy prior chemotherapy metastatic disease must be stopped at least five half lives seven days whichever is longer before inclusion
1, laboratory biomarker analysis grade three invasive breast carcinoma diagnosis participant receiving any other investigational agents within three days enrollment nor during participation
1, camptothecin endometrial cancer diagnosis patients child bearing potential must use adequate contraception
1, dacarbazine gliosarcoma diagnosis evidence greater grade one cns hemorrhage on baseline mri ct scan
0, etoposide stage iiib non small cell lung cancer diagnosis adequate baseline organ function obtained within thirty days registration
0, methotrexate lymphoma diagnosis one has not undergone hysterectomy bilateral oophorectomy two has not been naturally postmenopausal at least two consecutive months has had menses at any time preceding two consecutive months
0, antilymphocyte serum lymphoma diagnosis failed greater one prior chemotherapy regimen including fludarabine autologous stem cell transplantation
0, bortezomib lymphoma diagnosis patients must not be participating any other clinical trial taking any other experimental medications within fourteen days prior registration
0, docetaxel ovarian cancer diagnosis bilirubin normal
0, fluorouracil stage iva colon cancer diagnosis metastatic disease by imaging
0, lenalidomide stage small lymphocytic lymphoma diagnosis night sweats greater one month without evidence infection
0, cyclophosphamide rhabdomyosarcoma diagnosis stage one group stage one group stage one group iii orbital only stage two group stage two group ii subset two
1, dexamethasone acetate myeloma diagnosis exception
1, fludarabine phosphate recurrent cutaneous cell non hodgkin lymphoma diagnosis forty kidneys
1, everolimus recurrent renal cell cancer diagnosis adults reproductive potential who not using effective birth control methods if barrier contraceptive being used these must be continued throughout this trial by both sexes hormonal contraceptives not acceptable sole method contraception
1, albumin bound paclitaxel stage iii pancreatic cancer diagnosis any chemotherapy related toxicities from prior treatment greater grade two per common terminology criteria adverse events ctcae version doc
0, dabrafenib metastatic melanoma diagnosis patients must have histologically confirmed braf mutant vsix hundrede malignancy molecularly confirmed using validated commercially available assay performed clinical laboratory improvement amendments clia approved laboratory that is metastatic unresectable which standard curative palliative measures not exist no longer effective
1, decitabine melanoma diagnosis patients brain metastases
0, cetuximab breast cancer diagnosis written informed consent
0, rituximab stage iii grade three follicular lymphoma diagnosis patients allowed have received radiotherapy before enrollment if radiation was given alleviate pain neurologic compromise long there remains areas measurable disease present
0, lenograstim angioimmunoblastic cell lymphoma
1, bortezomib lymphoma non hodgkins diagnosis female subject is pregnant breast feeding
1, levoleucovorin stage ii rectal cancer diagnosis new york heart association class iii iv congestive heart failure
1, smoking cessation treatment plus moderate intensity exercise lung cancer diagnosis about three mph
1, lapatinib cancer diagnosis not have accessible veins venipuncture
1, carboplatin recurrent ovarian carcinoma diagnosis patients clinically significant cardiovascular disease excluded
0, panobinostat plasma cell myeloma diagnosis be surgically sterile or
1, trastuzumab advanced cancer diagnosis trastuzumab lapatinib treatment arm only history hypersensitivity trastuzumab chinese hamster ovary cell proteins any component formulation
1, antibodies monoclonal malignant neoplasm respiratory intrathoracic organ carcinoma diagnosis any gastrointestinal disorder expected limit absorption selumetinib
0, laboratory biomarker analysis recurrent childhood small noncleaved cell lymphoma diagnosis fertile patients must use effective contraception
0, triptorelin pamoate prostate cancer diagnosis clinical stage tthree any mzero any gleason score any prostate specific antigen psa
0, interleukin kidney cancer diagnosis more twelve weeks
0, niacinamide cholangiocarcinoma gallbladder diagnosis leukocyte count greater equal three zero mcl
0, immunoglobulins recurrent squamous cell carcinoma nasopharynx diagnosis abdominal fistula gastrointestinal perforation intra abdominal abscess within past twenty eight days
1, hormones lobular breast carcinoma situ diagnosis one two three pathologic axillary nodes
1, immunoglobulin g stage iv non small cell lung cancer diagnosis within past three years prior start treatment following exceptions this criterion
0, fludarabine metastatic melanoma diagnosis patients may have undergone minor surgical procedures within past three weeks long all toxicities have recovered grade one less
1, sunitinib sarcoma soft tissue diagnosis pregnancy breastfeeding
1, bbi advanced solid tumors diagnosis patients known leptomeningeal metastases excluded even if treated
1, erlotinib hydrochloride colorectal cancer diagnosis clinically significant peripheral vascular disease
0, paclitaxel peritoneal cavity cancer diagnosis disease characteristics
1, maytansine history other malignancy within previous five years except contralateral breast cancer ductal carcinoma situ dcis lobular carcinoma situ lcis appropriately treated carcinoma situ cervix non melanoma skin carcinoma stage uterine cancer other cancers outcome similar those mentioned above
0, procarbazine lymphoma diagnosis disease characteristics
0, sorafenib breast cancer diagnosis more twelve months since prior adjuvant neoadjuvant taxane therapy
0, fludarabine phosphate recurrent childhood grade iii lymphomatoid granulomatosis diagnosis any patient high risk hematologic oncologic diagnosis which allogeneic hsct is thought be beneficial whom front line therapy has already been applied
0, denileukin diftitox lymphoma low grade diagnosis aspartate aminotransferase ast alanine aminotransferase alt less equal doc times upper limit normal
0, lenalidomide recurrent marginal zone lymphoma diagnosis platelet count greater equal seventy five zero mm three
1, cyclophosphamide participants gastrointestinal disease that may significantly alter absorption pomalidomide
0, belinostat advanced malignant mesothelioma diagnosis not pregnant nursing
0, vorinostat noncontiguous stage ii mantle cell lymphoma diagnosis aspartate aminotransferase ast serum glutamic oxaloacetic transaminase sgot alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt less doc institutional upper limit normal
1, camptothecin adult primary cholangiocellular carcinoma diagnosis doc
0, liposomal doxorubicin ovarian cancer diagnosis patients greater eighteen years age
0, carboplatin breast cancer diagnosis no other contraindication treatment
1, vidarabine recurrent cutaneous cell non hodgkin lymphoma diagnosis karnofsky score less seventy adult patients
1, paclitaxel metastatic pancreas adenocarcinoma diagnosis prior history hemorrhagic thrombolytic stroke
1, radiotherapy gy rbe meningioma diagnosis distant metastases
0, diphosphonates prostate cancer diagnosis no distant metastases stage tnmo ie
1, cyclosporins recurrent adult diffuse mixed cell lymphoma diagnosis patients undergoing total body irradiation tbi based conditioning regimen tbi one thousand two hundred centigray cgy
1, ferrosoferric oxide bladder cancer diagnosis effects ferumoxytol on developing human fetus unknown
1, camptothecin glioblastoma multiforme diagnosis body weight below forty kg men fifty kg women
1, cisplatin lung cancer diagnosis serious concomitant disorders that would compromise safety patient compromise patient ability tolerate therapy
1, epinephryl borate thyroid neoplasm diagnosis modified radical neck dissection
0, liposomal doxorubicin unspecified childhood solid tumor protocol specific diagnosis doc mg dl male doc mg dl female thirteen less sixteen years age
0, tremelimumab liver cancer diagnosis doc
0, fluorodeoxyglucose f stage iv follicular thyroid cancer diagnosis pleural pericardial effusion
0, staurosporine carcinoma appendix diagnosis no concurrent anticonvulsants carbamazepine phenobarbital phenytoin
0, th cells allo hsctt non hodgkin lymphoma diagnosis complete remission three
0, podophyllotoxin recurrent small lymphocytic lymphoma diagnosis karnofsky performance status kps greater equal seventy
